source_url,output_file,title,department,topic,source_type,http_status,canonical_url,word_count,duplicate_status,historical_warning,last_modified,approved_for_upload,validation_errors
https://lemoorecollege.edu/resources/career-center/,support-services/resources-career-center.md,Workforce Internship Networking Center at Lemoore College,Career Center,career-services,official-web-page,200,https://lemoorecollege.edu/resources/career-center/,316,unique,,,true,
https://lemoorecollege.edu/student-life/food-and-basic-needs/,support-services/student-life-food-and-basic-needs.md,Golden Nest: Food and Basic Needs Center | Lemoore College,Basic Needs,basic-needs,official-web-page,200,https://lemoorecollege.edu/student-life/food-and-basic-needs/,586,unique,,,true,
https://lemoorecollege.edu/student-life/eagle-pantry/,support-services/student-life-eagle-pantry.md,Student Pantry | Lemoore College,Basic Needs,basic-needs,official-web-page,200,https://lemoorecollege.edu/student-life/eagle-pantry/,1199,unique,,,true,
https://lemoorecollege.edu/student-life/food-and-basic-needs/mental-health-resources.php,support-services/student-life-food-and-basic-needs-mental-health-resources.md,Mental Health & Wellbeing Resources | Lemoore College,Basic Needs,mental-health,official-web-page,200,https://lemoorecollege.edu/student-life/food-and-basic-needs/mental-health-resources.php,427,unique,,,true,
https://lemoorecollege.edu/resources/dream-resource-center/,support-services/resources-dream-resource-center.md,DREAM Resource Center - AB 540 SB 68 | Lemoore College,Dream Resource Center,dream-resource-center,official-web-page,200,https://lemoorecollege.edu/resources/dream-resource-center/,1303,unique,,,true,
https://lemoorecollege.edu/portal/,technology/portal.md,myWestHills Portal | West Hills Community College District,Information Technology,student-portal,official-web-page,200,https://lemoorecollege.edu/portal/,166,unique,,,true,
https://lemoorecollege.edu/helpdesk/,technology/helpdesk.md,Help Desk | West Hills Community College District,Information Technology,helpdesk,official-web-page,200,https://lemoorecollege.edu/helpdesk/,1385,unique,,,true,
https://lemoorecollege.edu/contact-us/,campus/contact-us.md,Contact Lemoore College,Campus,campus-contact,official-web-page,200,https://lemoorecollege.edu/contact-us/,83,unique,,,true,
https://lemoorecollege.edu/contact-us/office-directory.php,campus/contact-us-office-directory.md,Office Directory | Lemoore College,Campus,directory,official-web-page,200,https://lemoorecollege.edu/contact-us/office-directory.php,527,unique,,,true,
https://lemoorecollege.edu/map/,campus/map.md,Campus Map & Location,Campus,campus-map,official-web-page,200,https://lemoorecollege.edu/map/,47,unique,,,true,
https://lemoorecollege.edu/degrees-and-certificates/,programs/degrees-and-certificates.md,Degrees & Certificates | Lemoore College,Academics,degrees-and-certificates,official-web-page,200,https://lemoorecollege.edu/degrees-and-certificates/,40,unique,,,true,
